raw_category	new_category
Dining Chair - Chair	chair
wardrobe/lifting clothes hanger	wardrobe
accessory/accessory - on top of others
appliance/room heater	machine
Folding chair - Chair	chair
appliance/appliance - floor-based
Wine Cabinet - Cabinet/Shelf/Desk	cabinet
wardrobe/box	wardrobe
cabinet/floor-based cabinet	cabinet
Sideboard / Side Cabinet / Console Table - Table	cabinet
Tea Table - Cabinet/Shelf/Desk	table
Bunk Bed - Bed	bed
mirror/wall-attached mirror	mirror
appliance/others
plants/plants - floor-based	plant
storage unit/armoire - L shaped	wardrobe
King-size Bed - Bed	bed
unknown
Loveseat Sofa - Sofa	sofa
Kids Bed - Bed	bed
Wardrobe - Cabinet/Shelf/Desk	wardrobe
200 - on the floor
electronics/air-conditioner - wall-attached	air_conditioner
build element/column
Lazy Sofa - Sofa	sofa
accessory/kitchen decoration-horizontal	decor
Bed Frame - Bed	bed
recreation/musical instrument	instrument
Children Cabinet - Cabinet/Shelf/Desk	cabinet
build element/floor drain	
appliance/washer	machine
sofa/ottoman	sofa
sofa/ multi seat sofa	sofa
bed/single bed	bed
Shelf - Cabinet/Shelf/Desk	shelf
outdoor furniture/playground equipment
lighting/downlight	lamp
table/coffee table - irregular shape	table
Barstool - Chair	chair
table/night table	night_stand
electronics/computer	computer
TV Stand - Cabinet/Shelf/Desk	tv_stand
basin/floor-based single basin with cabinet	sink
electronics/TV - on top of others	tv
Bed	bed
kitchen cabinet/cbnt handle type 1	cabinet
Three-Seat / Multi-seat Sofa - Sofa	sofa
L-shaped Sofa - Sofa	sofa
Dressing Table - Table	dresser
Shoe Cabinet - Cabinet/Shelf/Desk	cabinet
accessory/accessory - floor-based
Classic Chinese Chair - Chair	chair
build element/railing	
accessory/accessory - wall-attached
300 - on top of others
Footstool / Sofastool / Bed End Stool / Stool - Pier/Stool	chair
build element/air-conditioning vent	
Chaise Longue Sofa - Sofa	sofa
plants/plants - on top of others	plant
Sideboard / Side Cabinet / Console Table - Cabinet/Shelf/Desk	cabinet
cabinet/wall-attached cabinet	cabinet
appliance/refrigerator	fridge
table/side table	table
electric/switch - single switch	switch
table/table	table
mirror/floor-based mirror	mirror
Others
storage unit/wall-attached storage unit
wardrobe/hanging clothes	clothes
Ceiling Lamp - Lighting	lamp
Desk - Table	desk
Couch Bed - Bed	bed
Dressing Chair - Chair	chair
Drawer Chest / Corner cabinet - Cabinet/Shelf/Desk	shelf
Lounge Chair / Book-chair / Computer Chair - Chair	chair
Two-seat Sofa - Sofa	sofa
stair/stair - left-turn	stairs
Corner/Side Table - Cabinet/Shelf/Desk	table
cabinet/hutch&buffet	cabinet
Single bed - Bed	bed
Three-Seat / Multi-person sofa - Sofa	sofa
Floor Lamp - Lighting	lamp
appliance/appliance - wall-attached
Bookcase / jewelry Armoire - Cabinet/Shelf/Desk	bookshelf
Wall Lamp - Lighting	lamp
sofa/lounge chair	chair
Bar - Table	table
Lounge Chair / Cafe Chair / Office Chair - Chair	chair
Round End Table - Cabinet/Shelf/Desk	table
chair/chair	chair
Nightstand - Cabinet/Shelf/Desk	night_stand
storage unit/floor-based storage unit
electronics/TV - wall-attached	tv
stair/spiral stair - left	stairs
storage unit/armoire	wardrobe
stair/stair - right-turn	stairs
Hanging Chair - Chair	chair
chair/armchair	chair
accessory/bathroom accessory - floor-based
table/coffee table	table
table/console table	table
electronics/air-conditioner - floor-based	air_conditioner
Table	table
build element/background wall	
U-shaped Sofa - Sofa	sofa
table/coffee table - rectangular	table
Wine Cooler - Cabinet/Shelf/Desk	fridge
lighting/single spotlight - ceiling-attached	lamp
Sideboard / Side Cabinet / Console - Cabinet/Shelf/Desk	cabinet
media unit/floor-based media unit
kitchen cabinet/cbnt drawer	cabinet
accessory/clothes	clothes
accessory/ribbon lamp	lamp
Double Bed - Bed	bed
armchair - Sofa	sofa
kitchen cabinet/cbnt appliance	cabinet
accessory/pillow	pillow
Coffee Table - Cabinet/Shelf/Desk	table
Dining Table - Table	table
Pendant Lamp - Lighting	lamp
kitchen cabinet/cbnt handle type 0	cabinet
accessory/bathroom accessory - on top of others
lighting/desk lamp	lamp
cabinet/floor-based kitchen cabinet	cabinet
kitchen cabinet/cabinet body	cabinet
art/art - wall-attached	picture
accessory/bedding
wardrobe/clothes rail
Footstool / Sofastool / Bed End Stool / Stool - Sofa	chair
appliance/appliance - on top of others
bed/king-size bed	bed
sofa/single seat sofa	sofa
shelf/book shelf	bookshelf
chair/bar chair	chair
lighting/wall lamp	lamp
lighting/ceiling light	lamp
lighting/floor lamp	lamp
table/dinning set	table
bed/queen-size bed	bed
table/dining table - square	table
table/coffee table - round	table
lighting/pendant light	lamp
bed/bed set	bed
table/dining table - round	table
cabinet/bookcase - L shaped	bookshelf
table/kitchen kart	table
storage unit/dresser	dresser
bed/matress	bed
sofa/type L sofa	sofa
sofa/right corner sofa	sofa
bed/crib	bed
shelf/decorative shelf	bookshelf
bath/cornered bath	bathtub
table/dining table	table
sofa/double seat sofa	sofa
sofa/sofa set	sofa
lighting/chandelier	lamp
sofa/left corner sofa	sofa
