raw_category	new_category
chair	chair
books	book
door	door
object	object
window	window
table	table
trash can	garbage_can
pillow	pillow
picture	picture
doorframe	door
box	box
cabinet	cabinet
monitor	monitor
desk	desk
office chair	chair
shelf	shelf
towel	towel
couch	sofa
sink	sink
lamp	lamp
backpack	bag
bed	bed
curtain	curtain
bookshelf	bookshelf
plant	plant
mirror	mirror
radiator	radiator
whiteboard	board
kitchen cabinet	cabinet
toilet paper	paper
kitchen cabinets	cabinet
clothes	clothes
coffee table	table
armchair	chair
book	book
toilet	toilet
stool	chair
bag	bag
bottle	bottle
keyboard	keyboard
shoes	shoe
nightstand	night_stand
recycling bin	garbage_can
tv	tv
dresser	dresser
file cabinet	cabinet
computer tower	box
clothing	clothes
telephone	phone
cup	cup
end table	table
jacket	clothes
microwave	microwave
refrigerator	fridge
shower curtain	shower_curtain
kitchen counter	counter
bathtub	bathtub
sofa chair	chair
paper towel dispenser	dispenser
bathroom vanity	cabinet
suitcase	box
ottoman	chair
laptop	computer
light	lamp
counter	counter
printer	printer
board	board
stove	stove
soap dispenser	dispenser
mini fridge	fridge
doors	door
cabinets	cabinet
fan	fan
bathroom stall	bathroom_stall
bar	bar
laundry hamper	basket
blanket	blanket
coffee maker	coffee_maker
copier	printer
light switch	switch
tv stand	tv_stand
decoration	decor
bathroom stall door	door
tissue box	box
bench	chair
storage bin	bin
range hood	range hood
dumbbell	dumbbell
blackboard	board
bulletin board	board
wardrobe closet	wardrobe
basket	basket
ceiling light	light
soap dish	dish
shower	shower
mouse	mouse
speaker	speaker
seat	chair
person	person
storage container	box
ball	ball
trash bin	garbage_can
closet	wardrobe
clock	clock
shower curtain rod	rod
ledge	ledge
sign	sign
purse	purse
bathroom cabinet	cabinet
paper bag	bag
stairs	strairs
bicycle	bicycle
dishwasher	dishwasher
container	box
bucket	basket
mat	blanket
paper	paper
tube	tube
dish rack	shelf
windowsill	ledge
stack of chairs	chair
closet doors	door
laundry basket	basket
paper towel roll	roll
plunger	plunger
stair rail	rail
closet door	door
handicap bar	bar
guitar	guitar
rail	rail
fire extinguisher	fire_extinguisher
cd case	box
paper cutter	cutter
column	column
cart	cart
blinds	blinds
closet rod	rod
water cooler	fridge
guitar case	guitar_case
scale	scale
piano	piano
stand	table
boxes	box
tray	plate
pipe	tube
bin	bin
water pitcher	pitcher
ladder	ladder
papers	paper
