raw_category	new_category
chair	chair
table	table
pillow	pillow
sofa_chair	chair
desk	desk
bed	bed
sofa	sofa
computer	computer
lamp	lamp
box	box
garbage_bin	garbage_can
cabinet	cabinet
shelf	shelf
drawer	cabinet
night_stand	night_stand
endtable	table
sink	sink
picture	picture
stool	chair
coffee_table	table
bookshelf	bookshelf
painting	picture
keyboard	keyboard
dresser	dresser
tv	tv
whiteboard	board
cpu	cpu
toilet	toilet
paper	paper
ottoman	chair
bench	chair
recycle_bin	garbage_can
monitor	monitor
printer	printer
plant	plant
door	door
book	book
mirror	mirror
laptop	computer
towel	towel
curtain	curtain
books	book
back_pack	bag
cup	cup
fridge	fridge
counter	counter
bottle	bottle
bathtub	bathtub
cubby	cubby
microwave	microwave
mouse	mouse
rack	shelf
tray	plate
mug	cup
bag	bag
projector	projector
person	person
suits_case	box
telephone	phone
stove	stove
cart	cart
poster	picture
podium	table
plate	plate
dresser_mirror	mirror
speaker	speaker
outlet	outlet
scanner	scanner
blinds	blinds
bowl	bowl
blackboard	board
island	table
tv_stand	tv_stand
organizer	organizer
stack_of_chairs	chair
dining_table	table
futon	futon
blanket	blanket
glass	glass
vase	vase
toilet_paper	paper
bulletin_board	board
clock	clock
basket	basket
thermos	bottle
switch	switch
stand	tv_stand
urinal	toilet
container	box
soap_dispenser	dispenser
flower_vase	vase
crib	cirb
pen	pen
fire_extinguisher	fire_extinguisher
wire_container	box
flowers	plant
tissue	paper
projector_screen	monitor
toys	toys
bunk_bed	bed
coffee_maker	coffee_maker
paper_towel_dispenser	dispenser
clothing_rack	wardrobe
laptop_case	box
stapler	stapler
mattress	bed
nightstand	night_stand
kettle	kettle
air_conditioner	air_conditioner
notebook	book
can	bottle
pot	pot
cupboard	cabinet
water_fountain	water_fountain
water_dispenser	dispenser
toaster_oven	oven
newspaper	paper
toy	toys
armoire	wardrobe
laundry_basket	basket
paper_bag	bag
decor	decor
light	light
eraser	eraser
bicycle	bicycle
binder	binder
plants	plant
kakejiku	kakejiku
stuffed_toy	toys
dish_detergent	dish_detergent
shampoo	bottle
electric_fan	fan
toilet_paper_dispenser	dispenser
window	window
parcel	box
paperbag	bag
oven	oven
water_bottle	bottle
marker	marker
phone	phone
plastic_bag	bag
diploma	paper
fan	fan
piano	piano
machine	machine
board	board
side_table	night_stand
pizza_box	box
dishwasher	dishwasher
carpet	blanket
headphones	headphones
remote	remote_control
soap_dish	dish
shoes	shoes
hamper	hamper
drying_rack	shelf
bulletin	paper
magazine	book
remote_control	remote_control
document_holder	document_holder
tupperware	
map	
cups	cup
battery	
washing_machine	machine
fire_place	
light_fixture	
paper_ream	paper
faucet	
tree	plant
figurine	
camera	
alarm	clock
chairs	chair
desktop	
cartoon	
ladder	
bucket	
